"","SECCION","munn.x","edon.x","edo","disloc2018","disloc2012","escenario1","escenario2","escenario3_jge","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"1",188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"2",189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"3",190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"4",191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"5",192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"6",193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"7",194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"8",195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"9",196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"10",197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"11",198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"12",199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"13",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"14",201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"15",202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"16",203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"17",204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"18",205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"19",206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"20",207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"21",208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"22",209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"23",210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"24",211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"25",212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"26",213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"27",214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"28",215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"29",216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"30",217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"31",218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"32",219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"33",220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"34",221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"35",222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"36",223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"37",224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"38",225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"39",226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"40",227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"41",228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"42",229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"43",230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"44",231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"45",232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"46",233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"47",234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"48",235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"49",236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"50",237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"51",238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"52",239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"53",240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"54",241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"55",242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"56",243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"57",244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"58",245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"59",246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"60",247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"61",248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"62",249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"63",250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"64",251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"65",252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"66",253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"67",254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"68",255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"69",256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"70",257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"71",258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"72",259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"73",260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"74",261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"75",262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"76",263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"77",264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"78",265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"79",266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"80",267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"81",268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"82",269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"83",270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"84",271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"85",272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"86",273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"87",274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"88",275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"89",276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"90",277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"91",278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"92",279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"93",280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"94",281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"95",282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"96",283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"97",284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
