"","seccion","munn","edon","dist_nueva","dist_anterior","esc1","esc2","esc3","pob total","dsi_secc","dsi_pob","dif","rural","urbano","mixto"
"1",1,1,6,6,1,15,15,11,5884,0.581,0.481335534373502,0.0996644656264977,0,1,0
"2",2,1,6,6,1,15,15,11,965,0.581,0.481335534373502,0.0996644656264977,0,1,0
"3",3,1,6,2,2,16,16,12,1916,0.593,0.492720371151413,0.100279628848587,0,1,0
"4",4,1,6,2,2,16,16,12,871,0.593,0.492720371151413,0.100279628848587,0,1,0
"5",5,1,6,2,2,16,16,12,619,0.593,0.492720371151413,0.100279628848587,0,1,0
"6",6,1,6,6,1,15,15,11,2113,0.581,0.481335534373502,0.0996644656264977,0,1,0
"7",7,1,6,2,2,16,16,12,937,0.593,0.492720371151413,0.100279628848587,0,1,0
"8",8,1,6,2,2,16,16,12,1066,0.593,0.492720371151413,0.100279628848587,0,1,0
"9",9,1,6,2,2,16,16,12,905,0.593,0.492720371151413,0.100279628848587,0,1,0
"10",10,1,6,2,2,16,16,12,1378,0.593,0.492720371151413,0.100279628848587,0,1,0
"11",11,1,6,2,2,16,16,12,611,0.593,0.492720371151413,0.100279628848587,0,1,0
"12",12,1,6,6,1,15,15,11,926,0.581,0.481335534373502,0.0996644656264977,0,1,0
"13",13,1,6,6,1,15,15,11,1913,0.581,0.481335534373502,0.0996644656264977,0,1,0
"14",14,1,6,2,2,16,16,12,1149,0.593,0.492720371151413,0.100279628848587,0,1,0
"15",15,1,6,2,2,16,16,12,564,0.593,0.492720371151413,0.100279628848587,0,1,0
"16",16,1,6,2,2,16,16,12,598,0.593,0.492720371151413,0.100279628848587,0,1,0
"17",17,1,6,2,2,16,16,12,726,0.593,0.492720371151413,0.100279628848587,0,1,0
"18",18,1,6,2,2,16,16,12,900,0.593,0.492720371151413,0.100279628848587,0,1,0
"19",19,1,6,2,2,16,16,12,1017,0.593,0.492720371151413,0.100279628848587,0,1,0
"20",20,1,6,1,2,16,16,9,1074,0.593,0.492720371151413,0.100279628848587,0,1,0
"21",21,1,6,1,2,15,15,9,1293,0.581,0.481335534373502,0.0996644656264977,0,1,0
"22",22,1,6,6,1,14,14,11,950,0.417,0.333810598397012,0.0831894016029881,0,1,0
"23",23,1,6,3,1,14,14,10,2813,0.417,0.333810598397012,0.0831894016029881,0,1,0
"24",24,1,6,3,1,14,14,10,5617,0.417,0.333810598397012,0.0831894016029881,0,1,0
"25",25,1,6,2,2,16,16,12,1306,0.593,0.492720371151413,0.100279628848587,0,1,0
"26",26,1,6,2,2,16,16,12,1008,0.593,0.492720371151413,0.100279628848587,0,1,0
"27",27,1,6,2,2,16,16,12,746,0.593,0.492720371151413,0.100279628848587,0,1,0
"28",28,1,6,2,2,16,16,12,491,0.593,0.492720371151413,0.100279628848587,0,1,0
"29",29,1,6,2,2,16,16,12,664,0.593,0.492720371151413,0.100279628848587,0,1,0
"30",30,1,6,2,2,16,16,12,518,0.593,0.492720371151413,0.100279628848587,0,1,0
"31",31,1,6,2,2,16,16,12,1026,0.593,0.492720371151413,0.100279628848587,0,1,0
"32",32,1,6,1,2,16,16,9,1315,0.593,0.492720371151413,0.100279628848587,0,1,0
"33",33,1,6,1,2,13,13,9,1493,0.208,0.189115958049122,0.0188840419508776,0,1,0
"34",34,1,6,1,2,13,13,9,1369,0.208,0.189115958049122,0.0188840419508776,0,1,0
"35",35,1,6,1,2,13,13,9,1542,0.208,0.189115958049122,0.0188840419508776,0,1,0
"36",36,1,6,1,1,13,13,9,1758,0.208,0.189115958049122,0.0188840419508776,0,1,0
"37",37,1,6,3,1,13,13,10,3045,0.208,0.189115958049122,0.0188840419508776,0,1,0
"38",38,1,6,2,2,16,16,12,1046,0.593,0.492720371151413,0.100279628848587,0,1,0
"39",39,1,6,2,2,16,16,12,562,0.593,0.492720371151413,0.100279628848587,0,1,0
"40",40,1,6,2,2,16,16,12,608,0.593,0.492720371151413,0.100279628848587,0,1,0
"41",41,1,6,2,2,16,16,12,367,0.593,0.492720371151413,0.100279628848587,0,1,0
"42",42,1,6,1,2,16,16,9,535,0.593,0.492720371151413,0.100279628848587,0,1,0
"43",43,1,6,1,2,16,16,9,1240,0.593,0.492720371151413,0.100279628848587,0,1,0
"44",44,1,6,1,2,13,13,9,686,0.208,0.189115958049122,0.0188840419508776,0,1,0
