"","SECCION","munn.x","edon.x","edo","disloc2016.x","disloc2013.x","escenario1","escenario2","escenario3_jge","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"1",162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"2",163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"3",164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"4",165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"5",166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"6",167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"7",168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"8",169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"9",170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"10",171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"11",172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"12",173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"13",174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"14",175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"15",176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"16",177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"17",224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"18",225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"19",226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"20",227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"21",228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"22",229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"23",230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"24",231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"25",232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"26",233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"27",234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"28",235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"29",236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"30",237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"31",238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"32",239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
