"","SECCION","munn.x","edon.x","edo","disloc2016.x","disloc2013.x","escenario1","escenario2","escenario3_jge","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"33",405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"34",406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"35",407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"36",408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"37",409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"38",410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"39",411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"40",412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"41",413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"42",414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"43",415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"44",416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"45",417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"46",418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"47",419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"48",420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"49",421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"50",422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"51",423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"52",424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"53",425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"54",426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"55",427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"56",428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"57",429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"58",430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"59",431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"60",432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"61",433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"62",434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"63",435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"64",436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"65",437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"66",438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"67",439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"68",440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"69",457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"70",458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"71",459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"72",460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"73",461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"74",462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"75",463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"76",464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"77",465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"78",466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"79",467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"80",468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"81",469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"82",470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"83",471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"84",472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"85",473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"86",474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"87",475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"88",476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"89",477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"90",478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"91",479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"92",480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"93",481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"94",482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"95",483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"96",484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"97",485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"98",486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"99",487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"100",488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"101",489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"102",490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"103",491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"104",492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"105",493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"106",494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"107",495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"108",496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"109",497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"110",498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"111",499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"112",500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"113",501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"114",502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"115",503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"116",504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"117",505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"118",506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"119",507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"120",508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"121",509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"122",630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"123",631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"124",632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"125",633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"126",634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"127",635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"128",636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"129",637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"130",638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"131",639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"132",640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"133",641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"134",657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"135",658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"136",659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"137",660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"138",661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"139",662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"140",663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"141",664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"142",1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"143",1044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"144",1045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"145",1046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"146",1047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"147",1048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"148",1049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"149",1050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"150",1051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"151",1052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"152",1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"153",1054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"154",1055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"155",1056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"156",1057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"157",1058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"158",1059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"159",1060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"160",1061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"161",1062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"162",1063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"163",1064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"164",1065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"165",1066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"166",1229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"167",1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"168",1231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"169",1232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"170",1233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"171",1234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"172",1235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"173",1236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"174",1237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"175",1238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"176",1239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"177",1240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"178",1241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"179",1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"180",1243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"181",1244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"182",1245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"183",1246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"184",1247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"185",1248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"186",1249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"187",1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"188",1251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"189",1252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"190",1253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"191",1254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"192",1255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"193",1256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"194",1257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"195",1258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"196",1259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"197",1260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"198",1261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"199",1333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"200",1334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"201",1335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"202",1336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"203",1337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"204",1338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"205",1339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"206",1340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"207",1341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"208",1342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"209",1343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"210",1344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"211",1345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"212",1346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"213",1347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"214",1348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"215",1403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"216",1404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"217",1405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"218",1406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"219",1407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"220",1408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"221",1409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"222",1410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"223",1411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"224",1412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"225",1413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"226",1414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"227",1415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"228",1416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"229",1417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"230",1418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"231",1419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"232",1420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"233",1421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"234",1422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"235",1423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"236",1424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"237",1425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"238",1426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"239",1427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"240",1428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"241",1563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"242",1564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"243",1565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"244",1566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"245",1567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"246",1568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"247",1569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"248",1570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"249",1571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"250",1572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"251",1573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"252",1574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"253",1575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"254",1585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"255",1586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"256",1587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"257",1588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"258",1589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"259",1590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"260",1591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"261",1592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"262",1593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"263",1594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"264",1595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"265",1596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"266",1597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"267",1598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"268",1599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"269",92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"270",93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"271",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"272",95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"273",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"274",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"275",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"276",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"277",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"278",101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"279",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"280",103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"281",104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"282",105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"283",106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"284",107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"285",108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"286",109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"287",110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"288",111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"289",112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"290",113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"291",240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
