"","edon.x","escenario1.x","escenario3","dsi_E1_E3_sec","edon.y","disloc2018","disloc2013","escenario1.y","dsi_E1_E3_pob","pob_total","dif"
"1",21,12,1,0.986,21,12,17,12,0.996009281167194,3081,0.010009281167194
"2",21,16,2,0.51,21,5,6,16,0.512207831647531,2145,0.00220783164753102
"3",21,16,2,0.51,21,5,6,16,0.512207831647531,2145,0.00220783164753102
"4",21,8,3,0.937,21,23,23,8,0.954719103129407,3789,0.0177191031294069
"5",21,6,4,0.923,21,13,18,6,0.96435407017279,3870,0.0413540701727899
"6",21,3,5,0.957,21,22,22,3,0.964037102473498,1270,0.00703710247349809
"7",21,19,6,0.311,21,2,2,19,0.284033623471999,1256,0.026966376528001
"8",21,19,6,0.311,21,2,2,19,0.284033623471999,1256,0.026966376528001
"9",21,7,7,0.47,21,3,2,13,0.431062593038917,2218,0.038937406961083
"10",21,18,19,1,21,26,26,18,1,5461,0
"11",21,10,8,0.762,21,14,20,10,0.796576297569439,891,0.034576297569439
"12",21,7,7,0.47,21,3,3,7,0.431062593038917,2852,0.038937406961083
"13",21,17,9,1,21,24,23,17,1,1172,0
"14",21,11,10,0.975,21,21,21,11,0.994759089414935,2603,0.019759089414935
"15",21,2,11,1,21,8,8,2,1,1455,0
"16",21,2,11,1,21,8,8,2,1,1455,0
"17",21,2,11,1,21,8,8,2,1,1455,0
"18",21,5,12,1,21,25,20,5,1,2249,0
"19",21,22,20,1,21,9,9,22,1,13689,0
"20",NA,NA,13,NA,21,6,6,1,0.706059782825821,4242,NA
"21",21,15,14,0.938,21,1,1,15,0.943416737872938,2270,0.00541673787293806
"22",21,14,15,1,21,15,19,14,1,3891,0
"23",21,26,26,1,21,17,13,26,1,364,0
"24",21,26,26,1,21,17,13,26,1,364,0
"25",21,24,24,1,21,10,11,24,1,1569,0
"26",21,25,25,1,21,19,13,25,1,1956,0
"27",21,25,25,1,21,19,13,25,1,1956,0
"28",21,25,25,1,21,19,13,25,1,1956,0
"29",NA,NA,21,NA,21,20,15,20,1,950,NA
"30",NA,NA,23,NA,21,16,12,23,1,780,NA
"31",NA,NA,22,NA,21,11,12,21,1,3081,NA
"32",21,9,16,1,21,18,8,9,1,2877,0
"33",NA,NA,17,NA,21,7,7,4,1,6144,NA
