"seccion","munn","edo","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"que",22,14,8,1355,14,14,1,0,0,8,0.389,0.062,0.833,0.104,8,0.425
35,2,"que",22,3,15,1809,3,3,0,0,1,15,0.836,0,0.831,0.169,15,0.823
46,3,"que",22,1,14,3080,1,1,0,0,1,14,0.795,0.128,0.532,0.34,14,0.77
76,4,"que",22,2,13,1930,2,2,0,0,1,11,0.338,0.082,0.735,0.184,11,0.4
97,5,"que",22,9,7,4952,9,9,1,0,0,5,0.178,0.806,0.065,0.129,5,0.189
182,10,"que",22,4,12,3467,4,4,1,0,0,12,1,0.212,0.303,0.485,12,1
210,11,"que",22,15,11,2308,15,15,1,0,0,11,0.347,0.444,0.185,0.37,11,0.338
266,14,"que",22,6,3,4632,6,6,1,0,0,3,0.43,0.736,0.075,0.189,3,0.368
275,14,"que",22,7,4,2479,7,7,1,0,0,4,0.454,0.971,0,0.029,4,0.456
315,14,"que",22,5,2,1322,5,5,1,0,0,2,0.508,0.797,0.101,0.101,2,0.38
333,14,"que",22,7,1,1682,7,7,1,0,0,4,0.454,1,0,0,4,0.456
372,14,"que",22,7,5,2330,7,7,1,0,0,4,0.454,1,0,0,4,0.456
441,14,"que",22,11,6,1244,11,11,1,0,0,5,0.266,0.98,0.02,0,5,0.366
563,16,"que",22,15,10,2301,15,15,1,0,0,11,0.347,0.5,0.262,0.238,11,0.338
575,16,"que",22,13,9,1493,13,13,1,0,0,9,0.815,0.733,0.1,0.167,9,0.766
