"seccion","munn","edo","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"tla",29,8,3,1538,10,1,0,0,1,11,0.226,0.786,0.107,0.107,11,0.222
5,2,"tla",29,8,2,3165,7,1,1,0,0,4,0.712,1,0,0,4,0.703
12,3,"tla",29,4,15,1335,8,11,1,0,0,15,0.276,0.839,0.032,0.129,15,0.396
13,3,"tla",29,4,16,2516,8,11,1,0,0,15,0.276,0.788,0.152,0.061,15,0.396
49,4,"tla",29,2,12,889,4,13,0,0,1,14,0.348,0.196,0.554,0.25,14,0.413
58,34,"tla",29,2,14,270,4,13,0,1,0,14,0.348,0.348,0.37,0.283,14,0.413
59,5,"tla",29,11,17,1327,14,3,0,0,1,19,0.496,0.26,0.48,0.26,19,0.41
78,6,"tla",29,1,13,5522,9,6,0,0,1,13,0.812,0.281,0.219,0.5,13,0.821
100,7,"tla",29,11,19,4229,14,3,1,0,0,19,0.496,0.447,0.316,0.237,19,0.41
122,10,"tla",29,9,4,2001,7,15,1,0,0,4,0.712,1,0,0,4,0.703
145,10,"tla",29,9,5,2471,7,15,1,0,0,4,0.712,0.909,0.045,0.045,4,0.703
178,13,"tla",29,10,18,4978,15,2,0,0,1,18,0.61,0.594,0.188,0.219,18,0.622
232,15,"tla",29,6,11,2481,3,10,0,0,1,11,0.343,0.561,0.22,0.22,11,0.338
254,58,"tla",29,14,10,3562,10,9,1,0,0,11,0.226,0.75,0,0.25,11,0.222
263,17,"tla",29,12,7,2550,11,7,1,0,0,7,0.529,1,0,0,7,0.55
309,22,"tla",29,12,9,1627,11,7,1,0,0,7,0.529,0.839,0.097,0.065,7,0.55
350,25,"tla",29,15,6,6141,12,5,1,0,0,6,0.867,0.933,0,0.067,6,0.882
442,33,"tla",29,7,1,1097,13,4,1,0,0,1,0.7,1,0,0,1,0.657
570,42,"tla",29,13,8,3126,11,8,1,0,0,7,0.529,0.952,0,0.048,7,0.55
