"seccion","X.x","munn.x","edon.x","disloc2015","disloc2017","disfed2017","X.y","edon.y","munn.y","escenario1","escenario2","escenario3_cg","escenario3","pan_cnv1","pri_clv1","panal_cnv2","pan_cnv2","prd_cnv2","pri_clv2","pt_clv2","pvem_clv2","esc1_panCNV1","esc1_priCLV1","esc2_panalCNV2","esc2_panCNV2","esc2_prdCNV2","esc2_priCLV2","esc2_ptCLV2","esc2_pvemCLV2","SQ","dsiSQ_E1","dsiSQ_E3"
84,82,15,26,6,6,2,82,26,15,4,4,4,4,4,5,4,4,2,20,1,2,1,0,1,1,0,0,0,0,7,0.385,0.385
85,83,15,26,6,6,2,83,26,15,4,4,4,4,4,5,4,4,2,20,1,2,1,0,1,1,0,0,0,0,7,0.385,0.385
86,84,15,26,6,6,2,84,26,15,4,4,4,4,4,5,4,4,2,20,1,2,1,0,1,1,0,0,0,0,7,0.385,0.385
87,85,15,26,6,6,2,85,26,15,4,4,4,4,4,5,4,4,2,20,1,2,1,0,1,1,0,0,0,0,7,0.385,0.385
88,86,15,26,6,6,2,86,26,15,4,4,4,4,4,5,4,4,2,20,1,2,1,0,1,1,0,0,0,0,7,0.385,0.385
89,87,16,26,6,6,2,87,26,16,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
90,88,16,26,6,6,2,88,26,16,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
91,89,16,26,6,6,2,89,26,16,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
92,90,17,26,7,7,1,90,26,17,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
93,91,17,26,7,7,1,91,26,17,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
94,92,17,26,7,7,1,92,26,17,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
95,93,17,26,7,7,1,93,26,17,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
96,94,17,26,7,7,1,94,26,17,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
97,95,17,26,7,7,1,95,26,17,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
98,96,17,26,7,7,1,96,26,17,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
99,97,17,26,7,7,1,97,26,17,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
100,98,18,26,18,18,1,98,26,18,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
101,99,19,26,7,7,2,99,26,19,4,4,4,4,4,5,4,4,2,20,3,2,1,0,1,1,0,0,0,0,7,0.385,0.385
102,100,19,26,7,7,2,100,26,19,4,4,4,4,4,5,4,4,2,20,3,2,1,0,1,1,0,0,0,0,7,0.385,0.385
103,101,19,26,7,7,2,101,26,19,4,4,4,4,4,5,4,4,2,20,3,2,1,0,1,1,0,0,0,0,7,0.385,0.385
104,102,19,26,7,7,2,102,26,19,4,4,4,4,4,5,4,4,2,20,3,2,1,0,1,1,0,0,0,0,7,0.385,0.385
105,103,19,26,7,7,2,103,26,19,4,4,4,4,4,5,4,4,2,20,3,2,1,0,1,1,0,0,0,0,7,0.385,0.385
106,104,20,26,18,18,1,104,26,20,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
107,105,21,26,7,7,1,105,26,21,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
108,106,21,26,7,7,1,106,26,21,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
109,107,22,26,18,18,1,107,26,22,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
110,108,23,26,6,6,1,108,26,23,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
111,109,23,26,6,6,1,109,26,23,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
112,110,24,26,5,5,2,110,26,24,3,3,3,3,3,3,3,3,1,21,3,1,1,1,1,1,0,0,1,0,18,0.265,0.253
113,111,24,26,5,5,2,111,26,24,3,3,3,3,3,3,3,3,1,21,3,1,1,1,1,1,0,0,1,0,18,0.265,0.253
114,112,24,26,5,5,2,112,26,24,3,3,3,3,3,3,3,3,1,21,3,1,1,1,1,1,0,0,1,0,18,0.265,0.253
115,113,24,26,5,5,2,113,26,24,3,3,3,3,3,3,3,3,1,21,3,1,1,1,1,1,0,0,1,0,18,0.265,0.253
116,114,24,26,5,5,2,114,26,24,3,3,3,3,3,3,3,3,1,21,3,1,1,1,1,1,0,0,1,0,18,0.265,0.253
117,115,24,26,5,5,2,115,26,24,3,3,3,3,3,3,3,3,1,21,3,1,1,1,1,1,0,0,1,0,18,0.265,0.253
120,116,24,26,5,5,2,116,26,24,3,3,3,3,3,3,3,3,1,21,3,1,1,1,1,1,0,0,1,0,18,0.265,0.253
121,117,24,26,5,5,2,117,26,24,3,3,3,3,3,3,3,3,1,21,3,1,1,1,1,1,0,0,1,0,18,0.265,0.253
122,118,24,26,5,5,2,118,26,24,3,3,3,3,3,3,3,3,1,21,3,1,1,1,1,1,0,0,1,0,18,0.265,0.253
123,119,25,26,6,6,2,119,26,25,14,14,14,14,14,4,14,14,14,7,6,3,1,0,1,1,1,0,0,0,4,0.593,0.585
124,120,25,26,6,6,2,120,26,25,14,14,14,14,14,4,14,14,14,7,6,3,1,0,1,1,1,0,0,0,4,0.593,0.585
125,121,25,26,6,6,2,121,26,25,14,14,14,14,14,4,14,14,14,7,6,3,1,0,1,1,1,0,0,0,4,0.593,0.585
126,122,25,26,6,6,2,122,26,25,14,14,14,14,14,4,14,14,14,7,6,3,1,0,1,1,1,0,0,0,4,0.593,0.585
127,123,25,26,6,6,2,123,26,25,14,14,14,14,14,4,14,14,14,7,6,3,1,0,1,1,1,0,0,0,4,0.593,0.585
128,124,25,26,6,6,2,124,26,25,14,14,14,14,14,4,14,14,14,7,6,3,1,0,1,1,1,0,0,0,4,0.593,0.585
129,125,25,26,6,6,2,125,26,25,14,14,14,14,14,4,14,14,14,7,6,3,1,0,1,1,1,0,0,0,4,0.593,0.585
130,126,25,26,6,6,2,126,26,25,14,14,14,14,14,4,14,14,14,7,6,3,1,0,1,1,1,0,0,0,4,0.593,0.585
131,127,25,26,6,6,2,127,26,25,14,14,14,14,14,4,14,14,14,7,6,3,1,0,1,1,1,0,0,0,4,0.593,0.585
132,128,25,26,6,6,2,128,26,25,14,14,14,14,14,4,14,14,14,7,6,3,1,0,1,1,1,0,0,0,4,0.593,0.585
133,129,25,26,6,6,2,129,26,25,14,14,14,14,14,4,14,14,14,7,6,3,1,0,1,1,1,0,0,0,4,0.593,0.585
134,130,25,26,6,6,2,130,26,25,14,14,14,14,14,4,14,14,14,7,6,3,1,0,1,1,1,0,0,0,4,0.593,0.585
135,131,25,26,6,6,2,131,26,25,14,14,14,14,14,4,14,14,14,7,6,3,1,0,1,1,1,0,0,0,4,0.593,0.585
136,132,25,26,6,6,2,132,26,25,14,14,14,14,14,4,14,14,14,7,6,3,1,0,1,1,1,0,0,0,4,0.593,0.585
137,133,25,26,6,6,2,133,26,25,14,14,14,14,14,4,14,14,14,7,6,3,1,0,1,1,1,0,0,0,4,0.593,0.585
138,134,26,26,7,7,1,134,26,26,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
139,135,26,26,7,7,1,135,26,26,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
140,136,26,26,7,7,1,136,26,26,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
141,137,26,26,7,7,1,137,26,26,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
142,138,27,26,6,6,2,138,26,27,4,4,4,4,4,5,4,4,2,20,1,2,1,0,1,1,0,0,0,0,7,0.385,0.385
143,139,27,26,6,6,2,139,26,27,4,4,4,4,4,5,4,4,2,20,1,2,1,0,1,1,0,0,0,0,7,0.385,0.385
144,140,27,26,6,6,2,140,26,27,4,4,4,4,4,5,4,4,2,20,1,2,1,0,1,1,0,0,0,0,7,0.385,0.385
145,141,27,26,6,6,2,141,26,27,4,4,4,4,4,5,4,4,2,20,1,2,1,0,1,1,0,0,0,0,7,0.385,0.385
146,142,28,26,18,18,1,142,26,28,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
147,143,28,26,18,18,1,143,26,28,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
148,144,28,26,18,18,1,144,26,28,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
149,145,29,26,7,7,1,145,26,29,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
150,146,29,26,7,7,1,146,26,29,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
151,147,29,26,7,7,1,147,26,29,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
152,148,29,26,7,7,1,148,26,29,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
153,149,29,26,7,7,1,149,26,29,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
154,150,29,26,7,7,1,150,26,29,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
155,151,29,26,7,7,1,151,26,29,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
156,152,29,26,7,7,1,152,26,29,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
157,153,29,26,7,7,1,153,26,29,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
158,154,29,26,7,7,1,154,26,29,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
159,155,30,26,4,4,2,155,26,30,14,14,15,14,14,2,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
160,156,30,26,4,4,2,156,26,30,14,14,15,14,14,2,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
161,157,30,26,4,4,2,157,26,30,14,14,15,14,14,3,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
162,158,30,26,4,4,2,158,26,30,14,14,15,14,14,3,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
163,159,30,26,4,4,2,159,26,30,14,14,15,14,14,3,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
164,160,30,26,4,4,2,160,26,30,14,14,15,14,14,3,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
165,161,30,26,4,4,2,161,26,30,14,14,15,14,14,3,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
166,162,30,26,4,4,2,162,26,30,14,14,15,14,14,3,14,14,14,7,2,11,1,0,1,1,1,0,0,0,4,0.593,0.585
167,163,30,26,4,4,2,163,26,30,14,14,15,14,14,3,14,14,14,7,2,11,1,0,1,1,1,0,0,0,4,0.593,0.585
168,164,30,26,4,4,2,164,26,30,14,14,15,14,14,2,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
169,165,30,26,4,4,2,165,26,30,14,14,15,14,14,2,14,14,14,7,2,11,1,0,1,1,1,0,0,0,4,0.593,0.585
170,166,30,26,4,4,2,166,26,30,14,14,15,14,14,2,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
171,167,30,26,4,4,2,167,26,30,14,14,15,14,14,2,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
172,168,30,26,4,4,2,168,26,30,14,14,15,14,14,2,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
173,169,30,26,4,4,2,169,26,30,14,14,15,14,14,2,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
174,170,30,26,4,4,2,170,26,30,14,14,15,14,14,2,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
175,171,30,26,4,4,2,171,26,30,14,14,15,14,14,2,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
176,172,30,26,4,4,2,172,26,30,14,14,15,14,14,2,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
177,173,30,26,4,4,2,173,26,30,14,14,15,14,14,2,14,14,14,7,2,11,1,0,1,1,1,0,0,0,4,0.593,0.585
178,174,30,26,4,4,2,174,26,30,14,14,15,14,14,3,14,14,14,7,2,11,1,0,1,1,1,0,0,0,4,0.593,0.585
179,175,30,26,4,4,2,175,26,30,14,14,15,14,14,3,14,14,14,7,2,11,1,0,1,1,1,0,0,0,4,0.593,0.585
180,176,30,26,4,4,2,176,26,30,14,14,15,14,14,3,14,14,14,7,2,11,1,0,1,1,1,0,0,0,4,0.593,0.585
181,177,30,26,4,4,2,177,26,30,14,14,15,14,14,3,14,14,14,7,2,11,1,0,1,1,1,0,0,0,4,0.593,0.585
182,178,30,26,4,4,2,178,26,30,14,14,15,14,14,3,14,14,14,7,2,11,1,0,1,1,1,0,0,0,4,0.593,0.585
183,179,30,26,4,4,2,179,26,30,14,14,15,14,14,2,14,14,14,7,2,11,1,0,1,1,1,0,0,0,4,0.593,0.585
184,180,30,26,4,4,2,180,26,30,14,14,15,14,14,2,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
185,181,30,26,4,4,2,181,26,30,14,14,15,14,14,2,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
186,182,30,26,4,4,2,182,26,30,14,14,15,14,14,2,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
187,183,30,26,4,4,2,183,26,30,14,14,15,14,14,2,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
188,184,30,26,4,4,2,184,26,30,14,14,15,14,14,2,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
189,185,30,26,4,4,2,185,26,30,14,14,15,14,14,2,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
190,186,30,26,4,4,2,186,26,30,14,14,15,14,14,2,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
191,187,30,26,4,4,2,187,26,30,14,14,15,14,14,3,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
192,188,30,26,4,4,2,188,26,30,14,14,15,14,14,3,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
193,189,30,26,4,4,2,189,26,30,14,14,15,14,14,3,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
194,190,30,26,4,4,2,190,26,30,14,14,15,14,14,3,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
195,191,30,26,4,4,2,191,26,30,14,14,15,14,14,3,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
196,192,30,26,4,4,2,192,26,30,14,14,15,14,14,2,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
