"seccion","munn.x","mun","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2005","disloc2015","disloc2018","X","edon.y","munn.y","escenario1","escenario2","escenario3_c8","pan_clv1","pan_clv1.1","esc1_panCLV1","esc1_panCLV1.1","SQ","dsiSQ_E3"
1,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,1,12,1,24,24,4,4,4,0,0,8,0.988
2,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,2,12,1,24,24,4,4,4,0,0,8,0.988
3,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,3,12,1,24,24,4,4,4,0,0,8,0.988
4,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,4,12,1,24,24,4,4,4,0,0,8,0.988
5,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,5,12,1,24,24,4,4,4,0,0,8,0.988
6,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,6,12,1,24,24,4,4,4,0,0,8,0.988
7,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,7,12,1,24,24,4,4,4,0,0,8,0.988
8,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,8,12,1,24,24,4,4,4,0,0,8,0.988
9,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,9,12,1,24,24,4,4,4,0,0,8,0.988
10,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,10,12,1,24,24,4,4,4,0,0,8,0.988
11,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,11,12,1,24,24,4,4,4,0,0,8,0.988
12,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,12,12,1,24,24,4,4,4,0,0,8,0.988
13,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,13,12,1,24,24,4,4,4,0,0,8,0.988
14,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,4,4,14,12,1,24,24,9,9,9,0,0,4,1
15,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,4,4,15,12,1,24,24,9,9,9,0,0,4,1
16,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,4,4,16,12,1,24,24,9,9,9,0,0,4,1
17,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,4,4,17,12,1,24,24,9,9,9,0,0,4,1
18,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,4,4,18,12,1,24,24,9,9,9,0,0,4,1
19,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,4,4,19,12,1,24,24,9,9,9,0,0,4,1
20,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,20,12,1,18,18,9,9,9,0,0,4,1
21,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,21,12,1,18,18,9,9,9,0,0,4,1
22,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,22,12,1,18,18,9,9,9,0,0,4,1
23,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,23,12,1,18,18,9,9,9,0,0,4,1
24,1,"Acapulco De Juárez",12,"gue",4,10,4,4,17,5,5,24,12,1,18,18,5,5,5,0,0,5,1
25,1,"Acapulco De Juárez",12,"gue",4,10,4,4,17,5,5,25,12,1,18,18,5,5,5,0,0,5,1
26,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,26,12,1,18,18,9,9,9,0,0,4,1
27,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,27,12,1,18,18,9,9,9,0,0,4,1
28,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,28,12,1,18,18,9,9,9,0,0,4,1
29,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,29,12,1,18,18,9,9,9,0,0,4,1
30,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,30,12,1,18,18,9,9,9,0,0,4,1
31,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,31,12,1,24,24,9,9,9,0,0,4,1
32,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,32,12,1,18,18,9,9,9,0,0,4,1
33,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,33,12,1,18,18,9,9,9,0,0,4,1
34,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,34,12,1,18,18,9,9,9,0,0,4,1
35,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,35,12,1,18,18,9,9,9,0,0,4,1
36,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,36,12,1,18,18,9,9,9,0,0,4,1
37,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,37,12,1,18,18,9,9,9,0,0,4,1
38,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,38,12,1,18,18,9,9,9,0,0,4,1
39,1,"Acapulco De Juárez",12,"gue",4,10,4,4,17,4,4,39,12,1,18,18,9,9,9,0,0,4,1
40,1,"Acapulco De Juárez",12,"gue",4,10,4,4,17,3,3,40,12,1,18,18,7,7,7,0,0,3,1
41,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,41,12,1,18,18,9,9,9,0,0,4,1
42,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,42,12,1,18,18,9,9,9,0,0,4,1
43,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,43,12,1,18,18,9,9,9,0,0,4,1
44,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,44,12,1,18,18,9,9,9,0,0,4,1
45,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,45,12,1,18,18,9,9,9,0,0,4,1
46,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,46,12,1,18,18,9,9,9,0,0,4,1
47,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,47,12,1,18,18,9,9,9,0,0,4,1
48,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,48,12,1,18,18,9,9,9,0,0,4,1
49,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,49,12,1,24,24,9,9,9,0,0,4,1
50,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,50,12,1,24,24,9,9,9,0,0,4,1
51,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,51,12,1,18,18,9,9,9,0,0,4,1
52,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,52,12,1,18,18,9,9,9,0,0,4,1
53,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,53,12,1,18,18,9,9,9,0,0,4,1
54,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,54,12,1,18,18,9,9,9,0,0,4,1
55,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,55,12,1,18,18,9,9,9,0,0,4,1
