"seccion","munn.x","ife","mun","edon.x","lisnom","disfed1979","disfed1997","disfed2006","disfed2018","disloc2010","cab2010","disloc2018","nota","X","edon.y","munn.y","escenario1","escenario2","escenario3_cg","escenario3_jge","iee1","panal_cnv1","pan_clv1","pan_clv2","escenario3_tribunal","esc1_IEE1","esc1_panalCNV1","esc1_panCLV1","esc2_panCLV2","SQ","dsiSQ_E3"
1,1,20001,"ABEJONES",20,986,2,4,4,4,3,"IXTLAN DE JUAREZ",1,"",1,20,1,16,25,1,1,1,16,1,1,1,0,1,0,0,3,0.654
2,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,733,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",2,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
3,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,1433,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",3,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
4,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,1451,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",4,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
5,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,737,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",5,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
6,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,1787,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",6,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
7,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,857,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",7,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
8,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,646,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",8,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
9,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,725,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",9,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
10,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,1201,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",10,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
11,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,1425,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",11,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
12,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,1523,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",12,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
13,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,602,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",13,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
14,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,740,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",14,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
15,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,747,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",15,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
16,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,322,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",16,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
17,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,1174,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",17,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
18,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,455,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",18,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
19,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,540,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",19,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
20,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,696,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",20,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
21,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,1046,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",21,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
22,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,480,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",22,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
23,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,616,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",23,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
24,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,1128,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",24,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
25,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,735,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",25,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
26,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,935,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",26,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
27,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,738,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",27,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
28,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,710,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",28,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
29,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,1102,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",29,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
30,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,776,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",30,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
31,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,1541,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",31,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
32,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,316,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",32,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
33,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,1170,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",33,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
34,2,20002,"ACATLAN DE PEREZ FIGUEROA",20,1176,4,1,1,1,25,"ACATLAN DE PEREZ FIGUEROA",2,"",34,20,2,13,2,2,2,2,13,2,2,2,0,1,0,1,25,0.56
35,3,20003,"ANIMAS TRUJANO",20,1095,3,8,9,4,22,"OAXACA DE JUAREZ (ZONA NORTE)",3,"",35,20,3,3,10,3,3,3,3,17,3,3,1,1,0,0,19,0.678
36,3,20003,"ANIMAS TRUJANO",20,1449,3,8,9,4,22,"OAXACA DE JUAREZ (ZONA NORTE)",3,"",36,20,3,3,10,3,3,3,3,17,3,3,1,1,0,0,19,0.678
37,386,20386,"SANTA CRUZ XOXOCOTLAN",20,1692,3,9,8,3,1,"OAXACA DE JUAREZ (ZONA SUR)",16,"",37,20,386,3,10,16,16,3,3,17,16,16,1,1,0,0,1,0.206
38,386,20386,"SANTA CRUZ XOXOCOTLAN",20,1237,3,9,8,3,1,"OAXACA DE JUAREZ (ZONA SUR)",16,"",38,20,386,3,10,16,16,3,3,17,16,16,1,1,0,0,1,0.206
39,4,20004,"ASUNCION CACALOTEPEC",20,608,10,4,4,4,20,"SAN PEDRO Y SAN PABLO AYUTLA",4,"",39,20,4,17,19,4,4,4,17,3,4,4,0,1,0,0,20,0.828
40,4,20004,"ASUNCION CACALOTEPEC",20,428,10,4,4,4,20,"SAN PEDRO Y SAN PABLO AYUTLA",4,"",40,20,4,17,19,4,4,4,17,3,4,4,0,1,0,0,20,0.828
41,4,20004,"ASUNCION CACALOTEPEC",20,525,10,4,4,4,20,"SAN PEDRO Y SAN PABLO AYUTLA",4,"",41,20,4,17,19,4,4,4,17,3,4,4,0,1,0,0,20,0.828
42,5,20005,"ASUNCION CUYOTEPEJI",20,904,6,3,3,3,15,"HEROICA CIUDAD DE HUAJUAPAN DE LEON",5,"",42,20,5,14,12,5,5,5,14,4,5,5,0,1,0,0,15,0.616
43,6,20006,"ASUNCION IXTALTEPEC",20,710,1,7,5,7,5,"CIUDAD IXTEPEC",6,"",43,20,6,5,22,6,18,6,5,5,6,6,0,1,1,0,6,0.358
44,6,20006,"ASUNCION IXTALTEPEC",20,862,1,7,5,7,5,"CIUDAD IXTEPEC",6,"",44,20,6,5,22,6,18,6,5,5,6,6,0,1,1,0,6,0.358
45,6,20006,"ASUNCION IXTALTEPEC",20,776,1,7,5,7,5,"CIUDAD IXTEPEC",6,"",45,20,6,5,22,6,18,6,5,5,6,6,0,1,1,0,6,0.358
46,6,20006,"ASUNCION IXTALTEPEC",20,963,1,7,5,7,5,"CIUDAD IXTEPEC",6,"",46,20,6,5,22,6,18,6,5,5,6,6,0,1,1,0,6,0.358
47,6,20006,"ASUNCION IXTALTEPEC",20,1254,1,7,5,7,5,"CIUDAD IXTEPEC",6,"",47,20,6,5,22,6,18,6,5,5,6,6,0,1,1,0,6,0.358
48,6,20006,"ASUNCION IXTALTEPEC",20,783,1,7,5,7,5,"CIUDAD IXTEPEC",6,"",48,20,6,5,22,6,18,6,5,5,6,6,0,1,1,0,6,0.358
49,6,20006,"ASUNCION IXTALTEPEC",20,927,1,7,5,7,5,"CIUDAD IXTEPEC",6,"",49,20,6,5,22,6,18,6,5,5,6,6,0,1,1,0,6,0.358
50,6,20006,"ASUNCION IXTALTEPEC",20,772,1,7,5,7,5,"CIUDAD IXTEPEC",6,"",50,20,6,5,22,6,18,6,5,5,6,6,0,1,1,0,6,0.358
51,6,20006,"ASUNCION IXTALTEPEC",20,971,1,7,5,7,5,"CIUDAD IXTEPEC",6,"",51,20,6,5,22,6,18,6,5,5,6,6,0,1,1,0,6,0.358
52,6,20006,"ASUNCION IXTALTEPEC",20,882,1,7,5,7,5,"CIUDAD IXTEPEC",6,"",52,20,6,5,22,6,18,6,5,5,6,6,0,1,1,0,6,0.358
53,6,20006,"ASUNCION IXTALTEPEC",20,807,1,7,5,7,5,"CIUDAD IXTEPEC",6,"",53,20,6,5,22,6,18,6,5,5,6,6,0,1,1,0,6,0.358
54,6,20006,"ASUNCION IXTALTEPEC",20,876,1,7,5,7,5,"CIUDAD IXTEPEC",6,"",54,20,6,5,22,6,18,6,5,5,6,6,0,1,1,0,6,0.358
55,6,20006,"ASUNCION IXTALTEPEC",20,238,1,7,5,7,5,"CIUDAD IXTEPEC",6,"",55,20,6,5,22,6,18,6,5,5,6,6,0,1,1,0,6,0.358
56,6,20006,"ASUNCION IXTALTEPEC",20,853,1,7,5,7,5,"CIUDAD IXTEPEC",6,"",56,20,6,5,22,6,18,6,5,5,6,6,0,1,1,0,6,0.358
57,7,20007,"ASUNCION NOCHIXTLAN",20,2313,7,6,3,2,16,"ASUNCION NOCHIXTLAN",7,"",57,20,7,4,13,7,7,7,4,4,7,7,0,1,1,0,16,0.377
58,7,20007,"ASUNCION NOCHIXTLAN",20,2329,7,6,3,2,16,"ASUNCION NOCHIXTLAN",7,"",58,20,7,4,13,7,7,7,4,4,7,7,0,1,1,0,16,0.377
59,7,20007,"ASUNCION NOCHIXTLAN",20,1975,7,6,3,2,16,"ASUNCION NOCHIXTLAN",7,"",59,20,7,4,13,7,7,7,4,4,7,7,0,1,1,0,16,0.377
60,7,20007,"ASUNCION NOCHIXTLAN",20,2427,7,6,3,2,16,"ASUNCION NOCHIXTLAN",7,"",60,20,7,4,13,7,7,7,4,4,7,7,0,1,1,0,16,0.377
61,7,20007,"ASUNCION NOCHIXTLAN",20,835,7,6,3,2,16,"ASUNCION NOCHIXTLAN",7,"",61,20,7,4,13,7,7,7,4,4,7,7,0,1,1,0,16,0.377
62,7,20007,"ASUNCION NOCHIXTLAN",20,535,7,6,3,2,16,"ASUNCION NOCHIXTLAN",7,"",62,20,7,4,13,7,7,7,4,4,7,7,0,1,1,0,16,0.377
63,7,20007,"ASUNCION NOCHIXTLAN",20,519,7,6,3,2,16,"ASUNCION NOCHIXTLAN",7,"",63,20,7,4,13,7,7,7,4,4,7,7,0,1,1,0,16,0.377
64,7,20007,"ASUNCION NOCHIXTLAN",20,470,7,6,3,3,16,"ASUNCION NOCHIXTLAN",7,"",64,20,7,4,13,7,7,7,4,4,7,7,0,1,1,0,16,0.377
65,8,20008,"ASUNCION OCOTLAN",20,1301,9,9,4,4,19,"OCOTLAN DE MORELOS",3,"",65,20,8,2,3,3,3,8,2,6,3,3,0,1,0,1,19,0.678
