"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2015","X","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","morena_clv1","morena_iee1","panal_clv1","pes_clv1","pri_clv1","pt_clv1","pvem_clv1","mc_clv2","panal_clv2","pes_clv2","pri_clv2","pt_clv2","pvem_clv2","esc1_morCLV1","esc1_morIEE1","esc1_panalCLV1","esc1_pesCLV1","esc1_mcCLV1","esc1_priCLV1","esc1_ptCLV1","esc1_pvemCLV1","esc2_mcCLV2","esc2_panalCLV2","esc2_pesCLV2","esc2_priCLV2","esc2_ptCLV2","esc2_pvemCLV2","E1","dsiE1_E3"
23,1,6,"col",1,1,1,1,3,1,23,6,1,14,14,10,9,9,1,9,9,7,9,9,9,9,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.577
24,1,6,"col",1,1,1,1,3,1,24,6,1,14,14,10,9,9,1,9,9,6,9,9,9,9,9,6,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.577
25,1,6,"col",1,1,1,1,2,2,25,6,1,16,16,12,6,6,3,10,6,9,6,6,6,10,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
26,1,6,"col",1,1,1,1,2,2,26,6,1,16,16,12,6,6,3,10,6,9,6,6,6,10,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
27,1,6,"col",1,1,1,1,2,2,27,6,1,16,16,12,6,6,3,10,6,7,6,6,6,10,6,7,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
28,1,6,"col",1,1,1,1,2,2,28,6,1,16,16,12,8,8,3,10,8,7,8,8,8,10,8,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
29,1,6,"col",1,1,1,1,2,2,29,6,1,16,16,12,8,8,3,10,8,7,8,8,8,10,8,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
30,1,6,"col",1,1,1,1,2,2,30,6,1,16,16,12,8,8,3,8,8,7,8,8,8,8,8,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
31,1,6,"col",1,1,1,1,2,2,31,6,1,16,16,12,8,8,2,8,8,7,8,8,8,8,8,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
32,1,6,"col",1,1,1,1,1,2,32,6,1,16,16,9,8,8,2,8,8,7,8,8,8,8,8,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
33,1,6,"col",1,1,1,1,1,2,33,6,1,13,13,9,9,9,2,8,9,7,9,9,9,8,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
34,1,6,"col",1,1,1,1,1,2,34,6,1,13,13,9,9,9,2,9,9,7,9,9,9,9,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
35,1,6,"col",1,1,1,1,1,2,35,6,1,13,13,9,9,9,2,8,9,6,9,9,9,8,9,6,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
36,1,6,"col",1,1,1,1,1,1,36,6,1,13,13,9,9,9,2,8,9,6,9,9,9,8,9,6,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
37,1,6,"col",1,1,1,1,3,1,37,6,1,13,13,10,9,9,1,9,9,6,9,9,9,9,9,6,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.577
38,1,6,"col",1,1,1,1,2,2,38,6,1,16,16,12,6,6,3,10,6,9,6,6,6,10,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
39,1,6,"col",1,1,1,1,2,2,39,6,1,16,16,12,6,6,3,10,6,9,6,6,6,10,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
40,1,6,"col",1,1,1,1,2,2,40,6,1,16,16,12,6,6,3,10,6,9,6,6,6,10,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
41,1,6,"col",1,1,1,1,2,2,41,6,1,16,16,12,8,8,3,10,8,7,8,8,8,10,8,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
42,1,6,"col",1,1,1,1,1,2,42,6,1,16,16,9,8,8,3,8,8,9,8,8,8,8,8,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
43,1,6,"col",1,1,1,1,1,2,43,6,1,16,16,9,8,8,3,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
44,1,6,"col",1,1,1,1,1,2,44,6,1,13,13,9,8,8,2,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
45,1,6,"col",1,1,1,1,1,2,45,6,1,13,13,9,8,8,2,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
46,1,6,"col",1,1,1,1,1,2,46,6,1,13,13,9,9,9,2,8,9,7,9,9,9,8,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
47,1,6,"col",1,1,1,1,2,2,47,6,1,16,16,12,6,6,3,10,6,9,6,6,6,10,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
48,1,6,"col",1,1,1,1,2,2,48,6,1,16,16,12,6,6,3,10,6,9,6,6,6,10,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
49,1,6,"col",1,1,1,1,2,5,49,6,1,16,16,12,8,8,3,10,8,9,8,8,8,10,8,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
50,1,6,"col",1,1,1,1,1,3,50,6,1,16,16,9,8,8,3,8,8,9,8,8,8,8,8,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
51,1,6,"col",1,1,1,1,1,2,51,6,1,16,16,9,8,8,3,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
52,1,6,"col",1,1,1,1,1,2,52,6,1,13,13,9,8,8,2,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
53,1,6,"col",1,1,1,1,1,2,53,6,1,13,13,9,9,9,2,8,9,8,9,9,9,8,9,8,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
54,1,6,"col",1,1,1,1,2,5,54,6,1,16,16,12,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
55,1,6,"col",1,1,1,1,2,5,55,6,1,16,16,12,6,6,3,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
56,1,6,"col",1,1,1,1,2,5,56,6,1,16,16,12,8,8,3,1,8,9,8,8,8,1,8,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
57,1,6,"col",1,1,1,1,1,3,57,6,1,16,16,9,8,8,3,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
58,1,6,"col",1,1,1,1,1,2,58,6,1,13,13,9,8,8,3,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
59,1,6,"col",1,1,1,1,1,2,59,6,1,13,13,9,8,8,3,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
60,1,6,"col",1,1,1,1,1,1,60,6,1,13,13,9,8,8,3,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
61,1,6,"col",1,1,1,1,3,3,61,6,1,13,13,10,8,8,1,9,8,8,8,8,8,9,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.577
62,1,6,"col",1,1,1,1,3,3,62,6,1,13,13,10,7,7,1,9,7,8,7,7,7,9,7,8,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.577
63,1,6,"col",1,1,1,1,2,5,63,6,1,14,14,12,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
64,1,6,"col",1,1,1,1,2,5,64,6,1,16,16,12,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
65,1,6,"col",1,1,1,1,2,5,65,6,1,16,16,12,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
66,1,6,"col",1,1,1,1,2,5,66,6,1,16,16,12,8,8,3,1,8,9,8,8,8,1,8,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
67,1,6,"col",1,1,1,1,2,5,67,6,1,16,16,12,8,8,3,1,8,9,8,8,8,1,8,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
68,1,6,"col",1,1,1,1,1,3,68,6,1,14,14,9,8,8,3,1,8,9,8,8,8,1,8,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
69,1,6,"col",1,1,1,1,1,3,69,6,1,14,14,9,8,8,3,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
70,1,6,"col",1,1,1,1,1,3,70,6,1,14,14,9,8,8,3,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
71,1,6,"col",1,1,1,1,1,3,71,6,1,14,14,9,8,8,3,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
72,1,6,"col",1,1,1,1,1,3,72,6,1,14,14,9,8,8,3,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
73,1,6,"col",1,1,1,1,2,5,73,6,1,14,14,12,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
74,1,6,"col",1,1,1,1,2,5,74,6,1,16,16,12,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
75,1,6,"col",1,1,1,1,3,5,75,6,1,14,14,10,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.577
76,1,6,"col",1,1,1,1,3,5,76,6,1,14,14,10,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.577
77,1,6,"col",1,1,1,1,6,1,77,6,1,15,15,11,9,9,1,12,9,7,9,9,9,12,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
78,1,6,"col",1,1,1,1,6,1,78,6,1,15,15,11,9,9,1,9,9,7,9,9,9,9,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
79,1,6,"col",1,1,1,1,6,1,79,6,1,15,15,11,9,9,1,9,9,7,9,9,9,9,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
80,1,6,"col",1,1,1,1,6,1,80,6,1,15,15,11,9,9,2,9,9,7,9,9,9,9,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
81,1,6,"col",1,1,1,1,3,5,81,6,1,14,14,10,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.577
82,1,6,"col",1,1,1,1,3,3,82,6,1,14,14,10,7,7,1,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.577
83,1,6,"col",1,1,1,1,3,3,83,6,1,14,14,10,6,6,1,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.577
84,1,6,"col",1,1,1,1,3,3,84,6,1,14,14,10,6,6,1,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.577
85,1,6,"col",1,1,1,1,3,3,85,6,1,14,14,10,6,6,1,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.577
86,1,6,"col",1,1,1,1,3,3,86,6,1,14,14,10,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.577
87,1,6,"col",1,1,1,1,3,3,87,6,1,14,14,10,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.577
88,1,6,"col",1,1,1,1,3,3,88,6,1,14,14,10,6,6,1,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.577
89,1,6,"col",1,1,1,1,3,3,89,6,1,14,14,10,6,6,1,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.577
90,1,6,"col",1,1,1,1,3,3,90,6,1,14,14,10,6,6,1,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.577
91,1,6,"col",1,1,1,1,3,3,91,6,1,14,14,10,6,6,1,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.577
92,2,6,"col",1,1,1,1,4,4,92,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.371
93,2,6,"col",1,1,1,1,4,4,93,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.371
94,2,6,"col",1,1,1,1,4,4,94,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.371
95,2,6,"col",1,1,1,1,4,4,95,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.371
96,2,6,"col",1,1,1,1,4,4,96,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.371
97,2,6,"col",1,1,1,1,4,4,97,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.371
98,2,6,"col",1,1,1,1,4,4,98,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.371
99,2,6,"col",1,1,1,1,4,4,99,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.371
100,2,6,"col",1,1,1,1,4,4,100,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.371
101,2,6,"col",1,1,1,1,4,4,101,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.371
102,2,6,"col",1,1,1,1,4,4,102,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.371
103,2,6,"col",1,1,1,1,4,4,103,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.371
104,2,6,"col",1,1,1,1,4,4,104,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.371
105,3,6,"col",1,1,1,1,5,5,105,6,3,1,1,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.35
106,3,6,"col",1,1,1,1,5,5,106,6,3,1,1,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.35
107,3,6,"col",1,1,1,1,5,5,107,6,3,1,1,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.35
108,3,6,"col",1,1,1,1,5,5,108,6,3,2,2,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.35
109,3,6,"col",1,1,1,1,5,5,109,6,3,2,2,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.35
110,3,6,"col",1,1,1,1,5,5,110,6,3,2,2,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.35
111,3,6,"col",1,1,1,1,5,5,111,6,3,2,2,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.35
112,3,6,"col",1,1,1,1,5,5,112,6,3,1,1,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.35
113,3,6,"col",1,1,1,1,5,5,113,6,3,1,1,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.35
114,3,6,"col",1,1,1,1,5,5,114,6,3,1,1,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.35
115,3,6,"col",1,1,1,1,5,5,115,6,3,1,1,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.35
116,3,6,"col",1,1,1,1,5,5,116,6,3,1,1,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.35
117,3,6,"col",1,1,1,1,5,5,117,6,3,2,2,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.35
118,3,6,"col",1,1,1,1,5,5,118,6,3,2,2,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.35
119,3,6,"col",1,1,1,1,5,5,119,6,3,2,2,13,15,15,4,11,15,16,15,15,15,11,15,16,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.35
120,4,6,"col",1,1,1,1,6,6,120,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
121,4,6,"col",1,1,1,1,6,6,121,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
122,4,6,"col",1,1,1,1,6,6,122,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
123,4,6,"col",1,1,1,1,6,6,123,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
124,4,6,"col",1,1,1,1,6,6,124,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
125,4,6,"col",1,1,1,1,6,6,125,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
126,4,6,"col",1,1,1,1,6,6,126,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
127,4,6,"col",1,1,1,1,6,6,127,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
128,4,6,"col",1,1,1,1,6,6,128,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
129,4,6,"col",1,1,1,1,6,6,129,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
130,4,6,"col",1,1,1,1,6,6,130,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
131,4,6,"col",1,1,1,1,6,6,131,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
132,4,6,"col",1,1,1,1,6,6,132,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
133,4,6,"col",1,1,1,1,6,6,133,6,4,15,15,11,7,7,5,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
134,4,6,"col",1,1,1,1,6,6,134,6,4,15,15,11,7,7,1,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
135,4,6,"col",1,1,1,1,6,6,135,6,4,15,15,11,7,7,1,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
136,4,6,"col",1,1,1,1,6,6,136,6,4,15,15,11,7,7,1,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
137,4,6,"col",1,1,1,1,6,6,137,6,4,15,15,11,7,7,1,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
138,5,6,"col",1,1,1,1,7,7,138,6,5,4,4,15,14,14,6,6,14,13,14,14,14,6,14,13,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.267
139,5,6,"col",1,1,1,1,7,7,139,6,5,4,4,15,14,14,6,6,14,13,14,14,14,6,14,13,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.267
140,5,6,"col",1,1,1,1,7,4,140,6,5,3,3,15,14,14,8,4,14,13,14,14,14,4,14,13,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.267
