"seccion","munn.x","ife","mun","edon.x","lisnom","disfed1979","disfed1997","disfed2006","disfed2018","disloc2010","cab2010","disloc2018","nota","X","edon.y","munn.y","escenario1","escenario2","escenario3_cg","escenario3_jge","iee1","panal_cnv1","pan_clv1","pan_clv2","escenario3_tribunal","esc1_IEE1","esc1_panalCNV1","esc1_panCLV1","esc2_panCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
502,66,20066,"OAXACA DE JUAREZ ",20,2262,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",502,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
503,66,20066,"OAXACA DE JUAREZ ",20,1029,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",503,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
504,66,20066,"OAXACA DE JUAREZ ",20,1757,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",504,20,66,25,15,24,24,25,24,25,24,24,1,0,1,0,1,0.639,0.63,25,0.987
505,66,20066,"OAXACA DE JUAREZ ",20,1422,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",505,20,66,25,15,24,24,25,24,25,24,24,1,0,1,0,1,0.639,0.63,25,0.987
506,66,20066,"OAXACA DE JUAREZ ",20,1091,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",506,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
507,66,20066,"OAXACA DE JUAREZ ",20,1656,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",507,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
508,66,20066,"OAXACA DE JUAREZ ",20,1184,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",508,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
509,66,20066,"OAXACA DE JUAREZ ",20,1537,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",509,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
510,66,20066,"OAXACA DE JUAREZ ",20,1503,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",510,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
511,66,20066,"OAXACA DE JUAREZ ",20,1742,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",511,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
512,66,20066,"OAXACA DE JUAREZ ",20,1324,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",512,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
513,66,20066,"OAXACA DE JUAREZ ",20,1340,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",513,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
514,66,20066,"OAXACA DE JUAREZ ",20,1440,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",514,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
515,66,20066,"OAXACA DE JUAREZ ",20,975,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",515,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
516,66,20066,"OAXACA DE JUAREZ ",20,1080,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",516,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
517,66,20066,"OAXACA DE JUAREZ ",20,1300,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",517,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
518,66,20066,"OAXACA DE JUAREZ ",20,1069,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",518,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
519,66,20066,"OAXACA DE JUAREZ ",20,1407,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",519,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
520,66,20066,"OAXACA DE JUAREZ ",20,1119,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",520,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
521,66,20066,"OAXACA DE JUAREZ ",20,1505,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",521,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
522,66,20066,"OAXACA DE JUAREZ ",20,1157,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",522,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
523,66,20066,"OAXACA DE JUAREZ ",20,1181,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",523,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
524,66,20066,"OAXACA DE JUAREZ ",20,2850,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",524,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
525,66,20066,"OAXACA DE JUAREZ ",20,992,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",525,20,66,25,15,24,24,25,24,25,24,24,1,0,1,0,1,0.639,0.63,25,0.987
526,66,20066,"OAXACA DE JUAREZ ",20,1050,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",526,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
527,66,20066,"OAXACA DE JUAREZ ",20,1206,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",527,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
528,66,20066,"OAXACA DE JUAREZ ",20,1583,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",528,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
529,66,20066,"OAXACA DE JUAREZ ",20,1386,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",529,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
530,66,20066,"OAXACA DE JUAREZ ",20,1202,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",530,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
531,66,20066,"OAXACA DE JUAREZ ",20,840,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",531,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
532,66,20066,"OAXACA DE JUAREZ ",20,1074,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",532,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
533,66,20066,"OAXACA DE JUAREZ ",20,618,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",533,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
534,66,20066,"OAXACA DE JUAREZ ",20,1244,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",534,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
535,66,20066,"OAXACA DE JUAREZ ",20,1413,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",535,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
536,66,20066,"OAXACA DE JUAREZ ",20,779,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",25,"",536,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
537,66,20066,"OAXACA DE JUAREZ ",20,1199,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",25,"",537,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
538,66,20066,"OAXACA DE JUAREZ ",20,1114,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",25,"",538,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
539,66,20066,"OAXACA DE JUAREZ ",20,877,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",539,20,66,25,15,24,24,25,24,25,24,24,1,0,1,0,1,0.639,0.63,25,0.987
540,66,20066,"OAXACA DE JUAREZ ",20,1512,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",540,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
541,66,20066,"OAXACA DE JUAREZ ",20,1991,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",541,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
542,66,20066,"OAXACA DE JUAREZ ",20,1209,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",542,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
543,66,20066,"OAXACA DE JUAREZ ",20,4032,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",543,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
544,66,20066,"OAXACA DE JUAREZ ",20,1079,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",544,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
545,66,20066,"OAXACA DE JUAREZ ",20,851,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",545,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
546,66,20066,"OAXACA DE JUAREZ ",20,666,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",25,"",546,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
547,66,20066,"OAXACA DE JUAREZ ",20,1403,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",25,"",547,20,66,24,14,25,25,24,25,25,25,25,1,0,0,0,22,0.46,0.457,24,0.987
548,66,20066,"OAXACA DE JUAREZ ",20,1026,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",25,"",548,20,66,24,14,25,25,24,25,25,25,25,1,0,0,0,22,0.46,0.457,24,0.987
549,66,20066,"OAXACA DE JUAREZ ",20,569,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",25,"",549,20,66,24,14,25,25,24,25,25,25,25,1,0,0,0,22,0.46,0.457,24,0.987
550,66,20066,"OAXACA DE JUAREZ ",20,662,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",550,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
551,66,20066,"OAXACA DE JUAREZ ",20,1116,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",551,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
552,66,20066,"OAXACA DE JUAREZ ",20,1384,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",552,20,66,24,14,25,25,24,24,25,25,25,1,1,0,0,22,0.46,0.457,24,0.987
553,66,20066,"OAXACA DE JUAREZ ",20,1704,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",25,"",553,20,66,24,14,25,25,24,25,25,25,25,1,0,0,0,22,0.46,0.457,24,0.987
554,66,20066,"OAXACA DE JUAREZ ",20,1138,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",25,"",554,20,66,24,14,25,25,24,25,25,25,25,1,0,0,0,22,0.46,0.457,24,0.987
555,66,20066,"OAXACA DE JUAREZ ",20,1161,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",25,"",555,20,66,24,14,25,25,24,25,25,25,25,1,0,0,0,22,0.46,0.457,24,0.987
556,66,20066,"OAXACA DE JUAREZ ",20,855,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",25,"",556,20,66,24,14,25,25,24,25,25,25,25,1,0,0,0,22,0.46,0.457,24,0.987
557,66,20066,"OAXACA DE JUAREZ ",20,921,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",25,"",557,20,66,24,14,25,25,24,25,25,25,25,1,0,0,0,22,0.46,0.457,24,0.987
558,66,20066,"OAXACA DE JUAREZ ",20,953,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",558,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
559,66,20066,"OAXACA DE JUAREZ ",20,1603,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",559,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
560,66,20066,"OAXACA DE JUAREZ ",20,2205,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",560,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
561,66,20066,"OAXACA DE JUAREZ ",20,1069,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",561,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
562,66,20066,"OAXACA DE JUAREZ ",20,1096,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",562,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
563,66,20066,"OAXACA DE JUAREZ ",20,1017,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",563,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
564,66,20066,"OAXACA DE JUAREZ ",20,1359,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",564,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
565,66,20066,"OAXACA DE JUAREZ ",20,855,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",565,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
566,66,20066,"OAXACA DE JUAREZ ",20,1218,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",566,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
567,66,20066,"OAXACA DE JUAREZ ",20,796,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",567,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
568,66,20066,"OAXACA DE JUAREZ ",20,1453,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",568,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
569,66,20066,"OAXACA DE JUAREZ ",20,1138,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",25,"",569,20,66,24,14,25,25,24,25,25,25,25,1,0,0,0,22,0.46,0.457,24,0.987
570,66,20066,"OAXACA DE JUAREZ ",20,1132,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",570,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
571,66,20066,"OAXACA DE JUAREZ ",20,814,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",571,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
572,66,20066,"OAXACA DE JUAREZ ",20,974,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",572,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
573,66,20066,"OAXACA DE JUAREZ ",20,949,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",573,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
574,66,20066,"OAXACA DE JUAREZ ",20,1502,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",574,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
575,66,20066,"OAXACA DE JUAREZ ",20,1180,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",575,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
576,66,20066,"OAXACA DE JUAREZ ",20,1559,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",576,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
577,66,20066,"OAXACA DE JUAREZ ",20,1524,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",577,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
578,66,20066,"OAXACA DE JUAREZ ",20,1769,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",578,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
579,66,20066,"OAXACA DE JUAREZ ",20,1368,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",579,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
580,66,20066,"OAXACA DE JUAREZ ",20,1197,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",580,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
581,66,20066,"OAXACA DE JUAREZ ",20,1509,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",581,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
582,66,20066,"OAXACA DE JUAREZ ",20,1504,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",582,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
583,66,20066,"OAXACA DE JUAREZ ",20,1371,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",583,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
584,66,20066,"OAXACA DE JUAREZ ",20,1034,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",584,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
585,66,20066,"OAXACA DE JUAREZ ",20,1016,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",585,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
586,66,20066,"OAXACA DE JUAREZ ",20,1269,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",586,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
587,66,20066,"OAXACA DE JUAREZ ",20,1455,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",587,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
588,66,20066,"OAXACA DE JUAREZ ",20,1087,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",588,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
589,66,20066,"OAXACA DE JUAREZ ",20,1464,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",589,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
590,66,20066,"OAXACA DE JUAREZ ",20,1413,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",590,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
591,66,20066,"OAXACA DE JUAREZ ",20,1198,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",591,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
592,66,20066,"OAXACA DE JUAREZ ",20,1416,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",592,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
593,66,20066,"OAXACA DE JUAREZ ",20,2628,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",593,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
594,66,20066,"OAXACA DE JUAREZ ",20,1612,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",594,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
595,66,20066,"OAXACA DE JUAREZ ",20,1204,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",595,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
596,66,20066,"OAXACA DE JUAREZ ",20,1708,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",596,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
597,66,20066,"OAXACA DE JUAREZ ",20,1433,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",597,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
598,66,20066,"OAXACA DE JUAREZ ",20,786,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",598,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
599,66,20066,"OAXACA DE JUAREZ ",20,926,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",599,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
600,66,20066,"OAXACA DE JUAREZ ",20,1649,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",600,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
601,66,20066,"OAXACA DE JUAREZ ",20,1148,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",601,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
602,66,20066,"OAXACA DE JUAREZ ",20,1400,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",602,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
603,66,20066,"OAXACA DE JUAREZ ",20,750,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",603,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
604,66,20066,"OAXACA DE JUAREZ ",20,1191,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",604,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
605,66,20066,"OAXACA DE JUAREZ ",20,1446,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",605,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
606,66,20066,"OAXACA DE JUAREZ ",20,1187,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",606,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
607,66,20066,"OAXACA DE JUAREZ ",20,1361,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",607,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
608,66,20066,"OAXACA DE JUAREZ ",20,970,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",608,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
609,66,20066,"OAXACA DE JUAREZ ",20,2443,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",609,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
610,66,20066,"OAXACA DE JUAREZ ",20,959,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",610,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
611,66,20066,"OAXACA DE JUAREZ ",20,1200,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",611,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
612,66,20066,"OAXACA DE JUAREZ ",20,1321,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",612,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
613,66,20066,"OAXACA DE JUAREZ ",20,1006,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",613,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
614,66,20066,"OAXACA DE JUAREZ ",20,1075,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",614,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
615,66,20066,"OAXACA DE JUAREZ ",20,983,3,8,8,8,1,"OAXACA DE JUAREZ (ZONA SUR)",24,"",615,20,66,25,15,24,24,25,25,24,24,24,1,1,0,0,1,0.639,0.63,25,0.987
616,66,20066,"OAXACA DE JUAREZ ",20,2394,3,8,8,8,22,"OAXACA DE JUAREZ (ZONA NORTE)",25,"",616,20,66,24,14,25,25,24,24,24,25,25,1,1,1,0,22,0.46,0.457,24,0.987
617,67,20067,"OCOTLAN DE MORELOS",20,1341,9,9,4,4,19,"OCOTLAN DE MORELOS",3,"",617,20,67,2,3,3,3,8,2,6,3,3,0,1,0,1,19,0.301,0.678,23,0.386
618,67,20067,"OCOTLAN DE MORELOS",20,1503,9,9,4,4,19,"OCOTLAN DE MORELOS",3,"",618,20,67,2,3,3,3,8,2,6,3,3,0,1,0,1,19,0.301,0.678,23,0.386
619,67,20067,"OCOTLAN DE MORELOS",20,1715,9,9,4,4,19,"OCOTLAN DE MORELOS",3,"",619,20,67,2,3,3,3,8,2,6,3,3,0,1,0,1,19,0.301,0.678,23,0.386
620,67,20067,"OCOTLAN DE MORELOS",20,2369,9,9,4,4,19,"OCOTLAN DE MORELOS",3,"",620,20,67,2,3,3,3,8,2,6,3,3,0,1,0,1,19,0.301,0.678,23,0.386
621,67,20067,"OCOTLAN DE MORELOS",20,1497,9,9,4,4,19,"OCOTLAN DE MORELOS",3,"",621,20,67,2,3,3,3,8,2,6,3,3,0,1,0,1,19,0.301,0.678,23,0.386
622,67,20067,"OCOTLAN DE MORELOS",20,1875,9,9,4,4,19,"OCOTLAN DE MORELOS",3,"",622,20,67,2,3,3,3,8,2,6,3,3,0,1,0,1,19,0.301,0.678,23,0.386
